Month,Quarter,Year,LineOfBusiness,AmountType,Estimate,Actual
2025-04,Q2-2025,2025,TECH_RISK,ExternalCost,3200000,3168000
2025-04,Q2-2025,2025,TECH_RISK,InternalCost,3840000,
2025-04,Q2-2025,2025,TECH_RISK,Premium,32000000,31680000
2025-04,Q2-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-04,Q2-2025,2025,TRANSPORT,Claims,12926222,12796960
2025-04,Q2-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-04,Q2-2025,2025,TRANSPORT,ExternalCost,2200000,2178000
2025-04,Q2-2025,2025,TRANSPORT,InternalCost,2640000,
2025-04,Q2-2025,2025,TRANSPORT,Premium,22000000,21780000
2025-05,Q2-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-05,Q2-2025,2025,COMM_FIRE,Claims,24910000,25906400
2025-05,Q2-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-05,Q2-2025,2025,COMM_FIRE,ExternalCost,4500000,4680000
2025-05,Q2-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-05,Q2-2025,2025,COMM_FIRE,Premium,45000000,46800000
2025-05,Q2-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-05,Q2-2025,2025,HOUSEHOLD,Claims,40368065,41982788
2025-05,Q2-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-05,Q2-2025,2025,HOUSEHOLD,ExternalCost,7500000,7800000
2025-05,Q2-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-05,Q2-2025,2025,HOUSEHOLD,Premium,78750000,81900000
2025-05,Q2-2025,2025,LIABILITY,CapitalCost,2090000,
2025-05,Q2-2025,2025,LIABILITY,Claims,23940000,24897600
2025-05,Q2-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-05,Q2-2025,2025,LIABILITY,ExternalCost,3800000,3952000
2025-05,Q2-2025,2025,LIABILITY,InternalCost,4560000,
2025-05,Q2-2025,2025,LIABILITY,Premium,38000000,39520000
2025-05,Q2-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-05,Q2-2025,2025,LIFE_HEALTH_EU,Claims,27840000,28953600
2025-05,Q2-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-05,Q2-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4992000
2025-05,Q2-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-05,Q2-2025,2025,LIFE_HEALTH_EU,Premium,48000000,49920000
2025-05,Q2-2025,2025,MOTOR,CapitalCost,3025000,
2025-05,Q2-2025,2025,MOTOR,Claims,40577778,42200889
2025-05,Q2-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-05,Q2-2025,2025,MOTOR,ExternalCost,5500000,5720000
2025-05,Q2-2025,2025,MOTOR,InternalCost,6600000,
2025-05,Q2-2025,2025,MOTOR,Premium,55000000,57200000
2025-05,Q2-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-05,Q2-2025,2025,SPECIALTY_AVTN,Claims,15750000,16380000
2025-05,Q2-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-05,Q2-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2600000
2025-05,Q2-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-05,Q2-2025,2025,SPECIALTY_AVTN,Premium,25000000,26000000
2025-05,Q2-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-05,Q2-2025,2025,TECH_RISK,Claims,14479644,15058830
2025-05,Q2-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-05,Q2-2025,2025,TECH_RISK,ExternalCost,3200000,3328000
2025-05,Q2-2025,2025,TECH_RISK,InternalCost,3840000,
2025-05,Q2-2025,2025,TECH_RISK,Premium,32000000,33280000
2025-05,Q2-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-05,Q2-2025,2025,TRANSPORT,Claims,12310222,12802631
2025-05,Q2-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-05,Q2-2025,2025,TRANSPORT,ExternalCost,2200000,2288000
2025-05,Q2-2025,2025,TRANSPORT,InternalCost,2640000,
2025-05,Q2-2025,2025,TRANSPORT,Premium,22000000,22880000
2025-06,Q2-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-06,Q2-2025,2025,COMM_FIRE,Claims,29590000,28110500
2025-06,Q2-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-06,Q2-2025,2025,COMM_FIRE,ExternalCost,4500000,4275000
2025-06,Q2-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-06,Q2-2025,2025,COMM_FIRE,Premium,45000000,42750000
2025-06,Q2-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-06,Q2-2025,2025,HOUSEHOLD,Claims,42354581,40236852
2025-06,Q2-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-06,Q2-2025,2025,HOUSEHOLD,ExternalCost,7500000,7125000
2025-06,Q2-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-06,Q2-2025,2025,HOUSEHOLD,Premium,81000000,76950000
2025-06,Q2-2025,2025,LIABILITY,CapitalCost,2090000,
2025-06,Q2-2025,2025,LIABILITY,Claims,23940000,22743000
2025-06,Q2-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-06,Q2-2025,2025,LIABILITY,ExternalCost,3800000,3610000
2025-06,Q2-2025,2025,LIABILITY,InternalCost,4560000,
2025-06,Q2-2025,2025,LIABILITY,Premium,38000000,36100000
2025-06,Q2-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-06,Q2-2025,2025,LIFE_HEALTH_EU,Claims,27840000,26448000
2025-06,Q2-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-06,Q2-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4560000
2025-06,Q2-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-06,Q2-2025,2025,LIFE_HEALTH_EU,Premium,48000000,45600000
2025-06,Q2-2025,2025,MOTOR,CapitalCost,3025000,
2025-06,Q2-2025,2025,MOTOR,Claims,42073778,39970089
2025-06,Q2-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-06,Q2-2025,2025,MOTOR,ExternalCost,5500000,5225000
2025-06,Q2-2025,2025,MOTOR,InternalCost,6600000,
2025-06,Q2-2025,2025,MOTOR,Premium,55000000,52250000
2025-06,Q2-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-06,Q2-2025,2025,SPECIALTY_AVTN,Claims,15750000,14962500
2025-06,Q2-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-06,Q2-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2375000
2025-06,Q2-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-06,Q2-2025,2025,SPECIALTY_AVTN,Premium,25000000,23750000
2025-06,Q2-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-06,Q2-2025,2025,TECH_RISK,Claims,15273244,14509582
2025-06,Q2-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-06,Q2-2025,2025,TECH_RISK,ExternalCost,3200000,3040000
2025-06,Q2-2025,2025,TECH_RISK,InternalCost,3840000,
2025-06,Q2-2025,2025,TECH_RISK,Premium,32000000,30400000
2025-06,Q2-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-06,Q2-2025,2025,TRANSPORT,Claims,12926222,12279911
2025-06,Q2-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-06,Q2-2025,2025,TRANSPORT,ExternalCost,2200000,2090000
2025-06,Q2-2025,2025,TRANSPORT,InternalCost,2640000,
2025-06,Q2-2025,2025,TRANSPORT,Premium,22000000,20900000
2025-07,Q3-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-07,Q3-2025,2025,COMM_FIRE,Claims,30760000,32605600
2025-07,Q3-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-07,Q3-2025,2025,COMM_FIRE,ExternalCost,4500000,4770000
2025-07,Q3-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-07,Q3-2025,2025,COMM_FIRE,Premium,45000000,47700000
2025-07,Q3-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-07,Q3-2025,2025,HOUSEHOLD,Claims,47458925,50306460
2025-07,Q3-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-07,Q3-2025,2025,HOUSEHOLD,ExternalCost,7500000,7950000
2025-07,Q3-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-07,Q3-2025,2025,HOUSEHOLD,Premium,82500000,87450000
2025-07,Q3-2025,2025,LIABILITY,CapitalCost,2090000,
2025-07,Q3-2025,2025,LIABILITY,Claims,23940000,25376400
2025-07,Q3-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-07,Q3-2025,2025,LIABILITY,ExternalCost,3800000,4028000
2025-07,Q3-2025,2025,LIABILITY,InternalCost,4560000,
2025-07,Q3-2025,2025,LIABILITY,Premium,38000000,40280000
2025-07,Q3-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-07,Q3-2025,2025,LIFE_HEALTH_EU,Claims,27840000,29510400
2025-07,Q3-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-07,Q3-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,5088000
2025-07,Q3-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-07,Q3-2025,2025,LIFE_HEALTH_EU,Premium,48000000,50880000
2025-07,Q3-2025,2025,MOTOR,CapitalCost,3025000,
2025-07,Q3-2025,2025,MOTOR,Claims,43569778,46183965
2025-07,Q3-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-07,Q3-2025,2025,MOTOR,ExternalCost,5500000,5830000
2025-07,Q3-2025,2025,MOTOR,InternalCost,6600000,
2025-07,Q3-2025,2025,MOTOR,Premium,55000000,58300000
2025-07,Q3-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-07,Q3-2025,2025,SPECIALTY_AVTN,Claims,15750000,16695000
2025-07,Q3-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-07,Q3-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2650000
2025-07,Q3-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-07,Q3-2025,2025,SPECIALTY_AVTN,Premium,25000000,26500000
2025-07,Q3-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-07,Q3-2025,2025,TECH_RISK,Claims,16066844,17030855
2025-07,Q3-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-07,Q3-2025,2025,TECH_RISK,ExternalCost,3200000,3392000
2025-07,Q3-2025,2025,TECH_RISK,InternalCost,3840000,
2025-07,Q3-2025,2025,TECH_RISK,Premium,32000000,33920000
2025-07,Q3-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-07,Q3-2025,2025,TRANSPORT,Claims,13542222,14354755
2025-07,Q3-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-07,Q3-2025,2025,TRANSPORT,ExternalCost,2200000,2332000
2025-07,Q3-2025,2025,TRANSPORT,InternalCost,2640000,
2025-07,Q3-2025,2025,TRANSPORT,Premium,22000000,23320000
2025-08,Q3-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-08,Q3-2025,2025,COMM_FIRE,Claims,31930000,31291400
2025-08,Q3-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-08,Q3-2025,2025,COMM_FIRE,ExternalCost,4500000,4410000
2025-08,Q3-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-08,Q3-2025,2025,COMM_FIRE,Premium,45000000,44100000
2025-08,Q3-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-08,Q3-2025,2025,HOUSEHOLD,Claims,52074581,51033089
2025-08,Q3-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-08,Q3-2025,2025,HOUSEHOLD,ExternalCost,7500000,7350000
2025-08,Q3-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-08,Q3-2025,2025,HOUSEHOLD,Premium,81000000,79380000
2025-08,Q3-2025,2025,LIABILITY,CapitalCost,2090000,
2025-08,Q3-2025,2025,LIABILITY,Claims,23940000,23461200
2025-08,Q3-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-08,Q3-2025,2025,LIABILITY,ExternalCost,3800000,3724000
2025-08,Q3-2025,2025,LIABILITY,InternalCost,4560000,
2025-08,Q3-2025,2025,LIABILITY,Premium,38000000,37240000
2025-08,Q3-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-08,Q3-2025,2025,LIFE_HEALTH_EU,Claims,27840000,27283200
2025-08,Q3-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-08,Q3-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4704000
2025-08,Q3-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-08,Q3-2025,2025,LIFE_HEALTH_EU,Premium,48000000,47040000
2025-08,Q3-2025,2025,MOTOR,CapitalCost,3025000,
2025-08,Q3-2025,2025,MOTOR,Claims,42073778,41232302
2025-08,Q3-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-08,Q3-2025,2025,MOTOR,ExternalCost,5500000,5390000
2025-08,Q3-2025,2025,MOTOR,InternalCost,6600000,
2025-08,Q3-2025,2025,MOTOR,Premium,55000000,53900000
2025-08,Q3-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-08,Q3-2025,2025,SPECIALTY_AVTN,Claims,15750000,15435000
2025-08,Q3-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-08,Q3-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2450000
2025-08,Q3-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-08,Q3-2025,2025,SPECIALTY_AVTN,Premium,25000000,24500000
2025-08,Q3-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-08,Q3-2025,2025,TECH_RISK,Claims,14479644,14190051
2025-08,Q3-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-08,Q3-2025,2025,TECH_RISK,ExternalCost,3200000,3136000
2025-08,Q3-2025,2025,TECH_RISK,InternalCost,3840000,
2025-08,Q3-2025,2025,TECH_RISK,Premium,32000000,31360000
2025-08,Q3-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-08,Q3-2025,2025,TRANSPORT,Claims,14158222,13875058
2025-08,Q3-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-08,Q3-2025,2025,TRANSPORT,ExternalCost,2200000,2156000
2025-08,Q3-2025,2025,TRANSPORT,InternalCost,2640000,
2025-08,Q3-2025,2025,TRANSPORT,Premium,22000000,21560000
2025-09,Q3-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-09,Q3-2025,2025,COMM_FIRE,Claims,30760000,31067600
2025-09,Q3-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-09,Q3-2025,2025,COMM_FIRE,ExternalCost,4500000,4545000
2025-09,Q3-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-09,Q3-2025,2025,COMM_FIRE,Premium,45000000,45450000
2025-09,Q3-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-09,Q3-2025,2025,HOUSEHOLD,Claims,56568065,57133746
2025-09,Q3-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-09,Q3-2025,2025,HOUSEHOLD,ExternalCost,7500000,7575000
2025-09,Q3-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-09,Q3-2025,2025,HOUSEHOLD,Premium,78750000,79537500
2025-09,Q3-2025,2025,LIABILITY,CapitalCost,2090000,
2025-09,Q3-2025,2025,LIABILITY,Claims,23940000,24179400
2025-09,Q3-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-09,Q3-2025,2025,LIABILITY,ExternalCost,3800000,3838000
2025-09,Q3-2025,2025,LIABILITY,InternalCost,4560000,
2025-09,Q3-2025,2025,LIABILITY,Premium,38000000,38380000
2025-09,Q3-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-09,Q3-2025,2025,LIFE_HEALTH_EU,Claims,27840000,28118400
2025-09,Q3-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-09,Q3-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4848000
2025-09,Q3-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-09,Q3-2025,2025,LIFE_HEALTH_EU,Premium,48000000,48480000
2025-09,Q3-2025,2025,MOTOR,CapitalCost,3025000,
2025-09,Q3-2025,2025,MOTOR,Claims,40577778,40983556
2025-09,Q3-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-09,Q3-2025,2025,MOTOR,ExternalCost,5500000,5555000
2025-09,Q3-2025,2025,MOTOR,InternalCost,6600000,
2025-09,Q3-2025,2025,MOTOR,Premium,55000000,55550000
2025-09,Q3-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-09,Q3-2025,2025,SPECIALTY_AVTN,Claims,15750000,15907500
2025-09,Q3-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-09,Q3-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2525000
2025-09,Q3-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-09,Q3-2025,2025,SPECIALTY_AVTN,Premium,25000000,25250000
2025-09,Q3-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-09,Q3-2025,2025,TECH_RISK,Claims,15273244,15425976
2025-09,Q3-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-09,Q3-2025,2025,TECH_RISK,ExternalCost,3200000,3232000
2025-09,Q3-2025,2025,TECH_RISK,InternalCost,3840000,
2025-09,Q3-2025,2025,TECH_RISK,Premium,32000000,32320000
2025-09,Q3-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-09,Q3-2025,2025,TRANSPORT,Claims,14774222,14921964
2025-09,Q3-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-09,Q3-2025,2025,TRANSPORT,ExternalCost,2200000,2222000
2025-09,Q3-2025,2025,TRANSPORT,InternalCost,2640000,
2025-09,Q3-2025,2025,TRANSPORT,Premium,22000000,22220000
2025-10,Q4-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-10,Q4-2025,2025,COMM_FIRE,Claims,27250000,26432500
2025-10,Q4-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-10,Q4-2025,2025,COMM_FIRE,ExternalCost,4500000,4365000
2025-10,Q4-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-10,Q4-2025,2025,COMM_FIRE,Premium,45000000,43650000
2025-10,Q4-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-10,Q4-2025,2025,HOUSEHOLD,Claims,52717205,51135689
2025-10,Q4-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-10,Q4-2025,2025,HOUSEHOLD,ExternalCost,7500000,7275000
2025-10,Q4-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-10,Q4-2025,2025,HOUSEHOLD,Premium,75000000,72750000
2025-10,Q4-2025,2025,LIABILITY,CapitalCost,2090000,
2025-10,Q4-2025,2025,LIABILITY,Claims,23940000,23221800
2025-10,Q4-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-10,Q4-2025,2025,LIABILITY,ExternalCost,3800000,3686000
2025-10,Q4-2025,2025,LIABILITY,InternalCost,4560000,
2025-10,Q4-2025,2025,LIABILITY,Premium,38000000,36860000
2025-10,Q4-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-10,Q4-2025,2025,LIFE_HEALTH_EU,Claims,27840000,27004800
2025-10,Q4-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-10,Q4-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4656000
2025-10,Q4-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-10,Q4-2025,2025,LIFE_HEALTH_EU,Premium,48000000,46560000
2025-10,Q4-2025,2025,MOTOR,CapitalCost,3025000,
2025-10,Q4-2025,2025,MOTOR,Claims,39081778,37909325
2025-10,Q4-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-10,Q4-2025,2025,MOTOR,ExternalCost,5500000,5335000
2025-10,Q4-2025,2025,MOTOR,InternalCost,6600000,
2025-10,Q4-2025,2025,MOTOR,Premium,55000000,53350000
2025-10,Q4-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-10,Q4-2025,2025,SPECIALTY_AVTN,Claims,15750000,15277500
2025-10,Q4-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-10,Q4-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2425000
2025-10,Q4-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-10,Q4-2025,2025,SPECIALTY_AVTN,Premium,25000000,24250000
2025-10,Q4-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-10,Q4-2025,2025,TECH_RISK,Claims,16860444,16354631
2025-10,Q4-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-10,Q4-2025,2025,TECH_RISK,ExternalCost,3200000,3104000
2025-10,Q4-2025,2025,TECH_RISK,InternalCost,3840000,
2025-10,Q4-2025,2025,TECH_RISK,Premium,32000000,31040000
2025-10,Q4-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-10,Q4-2025,2025,TRANSPORT,Claims,15390222,14928515
2025-10,Q4-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-10,Q4-2025,2025,TRANSPORT,ExternalCost,2200000,2134000
2025-10,Q4-2025,2025,TRANSPORT,InternalCost,2640000,
2025-10,Q4-2025,2025,TRANSPORT,Premium,22000000,21340000
2025-11,Q4-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-11,Q4-2025,2025,COMM_FIRE,Claims,26080000,26862400
2025-11,Q4-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-11,Q4-2025,2025,COMM_FIRE,ExternalCost,4500000,4635000
2025-11,Q4-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-11,Q4-2025,2025,COMM_FIRE,Premium,45000000,46350000
2025-11,Q4-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-11,Q4-2025,2025,HOUSEHOLD,Claims,47246345,48663735
2025-11,Q4-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-11,Q4-2025,2025,HOUSEHOLD,ExternalCost,7500000,7725000
2025-11,Q4-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-11,Q4-2025,2025,HOUSEHOLD,Premium,71250000,73387500
2025-11,Q4-2025,2025,LIABILITY,CapitalCost,2090000,
2025-11,Q4-2025,2025,LIABILITY,Claims,23940000,24658200
2025-11,Q4-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-11,Q4-2025,2025,LIABILITY,ExternalCost,3800000,3914000
2025-11,Q4-2025,2025,LIABILITY,InternalCost,4560000,
2025-11,Q4-2025,2025,LIABILITY,Premium,38000000,39140000
2025-11,Q4-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-11,Q4-2025,2025,LIFE_HEALTH_EU,Claims,27840000,28675200
2025-11,Q4-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-11,Q4-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4944000
2025-11,Q4-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-11,Q4-2025,2025,LIFE_HEALTH_EU,Premium,48000000,49440000
2025-11,Q4-2025,2025,MOTOR,CapitalCost,3025000,
2025-11,Q4-2025,2025,MOTOR,Claims,37585778,38713351
2025-11,Q4-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-11,Q4-2025,2025,MOTOR,ExternalCost,5500000,5665000
2025-11,Q4-2025,2025,MOTOR,InternalCost,6600000,
2025-11,Q4-2025,2025,MOTOR,Premium,55000000,56650000
2025-11,Q4-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-11,Q4-2025,2025,SPECIALTY_AVTN,Claims,15750000,16222500
2025-11,Q4-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-11,Q4-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2575000
2025-11,Q4-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-11,Q4-2025,2025,SPECIALTY_AVTN,Premium,25000000,25750000
2025-11,Q4-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-11,Q4-2025,2025,TECH_RISK,Claims,17654044,18183665
2025-11,Q4-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-11,Q4-2025,2025,TECH_RISK,ExternalCost,3200000,3296000
2025-11,Q4-2025,2025,TECH_RISK,InternalCost,3840000,
2025-11,Q4-2025,2025,TECH_RISK,Premium,32000000,32960000
2025-11,Q4-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-11,Q4-2025,2025,TRANSPORT,Claims,16006222,16486409
2025-11,Q4-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-11,Q4-2025,2025,TRANSPORT,ExternalCost,2200000,2266000
2025-11,Q4-2025,2025,TRANSPORT,InternalCost,2640000,
2025-11,Q4-2025,2025,TRANSPORT,Premium,22000000,22660000
2025-12,Q4-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-12,Q4-2025,2025,COMM_FIRE,Claims,28420000,28420000
2025-12,Q4-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-12,Q4-2025,2025,COMM_FIRE,ExternalCost,4500000,4500000
2025-12,Q4-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-12,Q4-2025,2025,COMM_FIRE,Premium,45000000,45000000
2025-12,Q4-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-12,Q4-2025,2025,HOUSEHOLD,Claims,48255484,48255484
2025-12,Q4-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-12,Q4-2025,2025,HOUSEHOLD,ExternalCost,7500000,7500000
2025-12,Q4-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-12,Q4-2025,2025,HOUSEHOLD,Premium,67500000,67500000
2025-12,Q4-2025,2025,LIABILITY,CapitalCost,2090000,
2025-12,Q4-2025,2025,LIABILITY,Claims,23940000,23940000
2025-12,Q4-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-12,Q4-2025,2025,LIABILITY,ExternalCost,3800000,3800000
2025-12,Q4-2025,2025,LIABILITY,InternalCost,4560000,
2025-12,Q4-2025,2025,LIABILITY,Premium,38000000,38000000
2025-12,Q4-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-12,Q4-2025,2025,LIFE_HEALTH_EU,Claims,27840000,27840000
2025-12,Q4-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-12,Q4-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4800000
2025-12,Q4-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-12,Q4-2025,2025,LIFE_HEALTH_EU,Premium,48000000,48000000
2025-12,Q4-2025,2025,MOTOR,CapitalCost,3025000,
2025-12,Q4-2025,2025,MOTOR,Claims,36089778,36089778
2025-12,Q4-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-12,Q4-2025,2025,MOTOR,ExternalCost,5500000,5500000
2025-12,Q4-2025,2025,MOTOR,InternalCost,6600000,
2025-12,Q4-2025,2025,MOTOR,Premium,55000000,55000000
2025-12,Q4-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-12,Q4-2025,2025,SPECIALTY_AVTN,Claims,15750000,15750000
